"","tweet","sentiment"
"1"," youre uber eats driver  walking just cancel  food bro ","neutral"
"2"," uber proud  see   great turnout   first tanggathon session last night thank  everyone  coming","positive"
"3"," wed like  take  look   weve sent   direct message please check  inbox thank ","positive"
"4","new just announced  partnership  uber  offer young voters  georgia free rides  amp  poll","positive"
"5"," dont     adds   facenook uber viber snapchat facebook add  showing amp annoy ","negative"
"6","  uber eats commercial  worse mentions   favorite cult","neutral"
"7"," dont order uber eats    days  start getting aggressive w  notifications  know  aint eat tod","negative"
"8","update listening  twin flame  sobbing   uber","neutral"
"9","delhi police asks uber  verify drivers  onboarding  check alcohol level  ride devdiscourse  te ","neutral"
"10"," just nowbook aridw driver  come  loction    stayvsome way  canclled trip uber  ca","neutral"
"11"," taking  huge chunk  every sale  using hardware   os  force pe ","neutral"
"12","  will like  buy  tokunbo corolla  uber business  know  m cant  anoff  will add  little change  ","positive"
"13","noww thats  screammmer swaaaggg written    vijay thalapathy swag  andha hand la tea glass giving  local fl","neutral"
"14","baltimore police say   investigating  string  robberies    ride share drivers  carjacked  ","neutral"
"15","lol wait till yall find   uber drivers  also bolt drivers maybe   guys will stop asking people  que","neutral"
"16","think    uber driver  gets  venmo payout   treasury publicly targets   now think abo","neutral"
"17"," uber","neutral"
"18","oh  god   leave   stealing  car   also   fake uber driver  robbing  riders  c ","negative"
"19","  met   accident  uber shuttle shuttle door     stopper driver start  bus  s ","neutral"
"20","ladies please dont request uberbolt   dont  money  pay    drivers  will accept clito currency","neutral"
"21","ene   keep telling yall   people actually     choice bc uber   operate   areas s","neutral"
"22","dear  know   person life coaches  super nervous   blue check validation   yo ","neutral"
"23"," great job mr president keep lowering gas prices   student can make  money driving uber  pay  student loans","positive"
"24"," just nowbook aridw driver  come  loction    stayvsome way  canclled trip uber  ","neutral"
"25","remember  woman  dc  shouted racial slurs   black uber driver amp called   slave    ","negative"
"26"," last two uber drivers   going   hella conservative rants aaaaaandddddd im just  like bro shut ","negative"
"27","every single uber driver ive   miami  actively tried  kill    driving","negative"
"28"," mobile number email address name   details requested provided   solution offered bcz ","neutral"
"29"," strikes  ubercool pose   full  swag   new poster ground promotions will st","neutral"
"30"," sorry   trouble u       regular feature  ola amp uber  ","negative"
"31"," explain     dont use  yellow cab   jfk minute wait    illegal cabs  stairs","negative"
"32"," believe uber successful h h h","positive"
"33","  need    use  code votega   uber app  click get  ride   polling","neutral"
"34","    disgrace   platform  work  full time cause  care less   driver cause  w","neutral"
"35","lots  young people dont   simple way  get   polls    helping fund","positive"
"36","new  teaming    help provide free uber rides    polling places  georg","positive"
"37","also theres  error right now  uber app  can get  large peppermint mcflurry  snack size  like ","positive"
"38","  two big mac meals uber eats  demonic","negative"
"39","  thought  uber driver asked    going   bar   said yeah   asked  im  brazil   ","neutral"
"40"," im going  uber husband changed jobs  couple months ago works  home mostly bu ","positive"
"41","okay part two will  reach  goal     hope  wont  uber quick like last time      set  bar","positive"
"42","uber driver just became  easiest job   planet   driver    tesla  full self driving   us ","positive"
"43"," took  money    ride   already  paid   top    drop  location  wrong ","neutral"
"44"," dont need nobody else    can  couchwifefriendplaystationclothesbedfoodteacheruberhb     ","neutral"
"45","   ruaha built around boulders  panoramic view   ruaha landscape uber  ","positive"
"46","  special episode   book club  join john p glynn heat uber fan  stu coote ","neutral"
"47","  got stuck   store   extra hour  couldnt get  uber   ended calling  neighbors","negative"
"48"," got  uber   airport   first half  watched  second   terminal bar quite  difference","neutral"
"49","nonpolitical tweet  just got  haircut   taking uber home uber driving  lustily singing s  s music","neutral"
"50","reminder   tip  earls  cactus server percent   flip  ipad around  tell   easie ","neutral"
"51"," one  ur drivers almost crashed bcuz     phoneshe forcefully made  stream  album t ","negative"
"52","  better quarantine  weeks dont leave  house get uber eats   need food  dont wa ","positive"
"53","  american people   idea  trump   minions  fleecing t","positive"
"54","new details depression anxiety cutters oas ex aas ex nas bulimia etc start   meeting ","negative"
"55","  story       complained number  times","negative"
"56"," toyota amp honda stealership calls uber amp pax gets picks    tesla experiences  ride th ","neutral"
"57","  just hardwork bro hardcore work uber hardcore","positive"
"58","lmfao bro  just looked   uber bill  san diego   think   shade  tf   ubering everywhe ","neutral"
"59","im   uber  cuff  came   radio   driver changed  station   cuff    playing  another","neutral"
"60"," date    pick   open  door   hopefully  cool   making  dinner  ","positive"
"61","   drivers     apps  people  worried    ones  didnt make   uber","negative"
"62"," relax   free uber   polls send crazy trumpbacked walker back home  texas  doesnt know u","neutral"
"63"," uber mad ashit  def made   stops","negative"
"64","  dont even keep app  phone bangalore order gt known cabbies colle ","neutral"
"65","aowa  alternate sure  ko uber  dont get away  crime  easily mon bolt will mize  straight   also dr","negative"
"66","  understand  experience   frustrating well   best  make things right weve b ","positive"
"67","     business license  transport passengers amp  commercially insured vehicle","neutral"
"68","one time   giving two latinas  uber ride    behind  car    license plate  said silent ","positive"
"69","klay thompson welcome  uber eats","positive"
"70","    help please send us  dm   phone number associated   uber account   can assist  ","neutral"
"71","uber rating downgraded  sell based  trades   min chart stockmarket ","neutral"
"72","wonderful piece   teams  mixed ethnicity   primacy   immigrant   sport  ","positive"
"73","love  idea uber offering free rides   polls  young georgia voters  now amp election day like helpi","positive"
"74","    disgrace   platform  work  full time cause  care less   driver ca ","neutral"
"75","   us never hesitated driving pt   months  ","neutral"
"76","aint never    uber     folks   front passenger seat","neutral"
"77"," uber","neutral"
"78","wild uber  started   bitching   one tips peaked   talking    got friendzoned   ","negative"
"79","uber   actually scary like   rather walk home","neutral"
"80"," dude  uber flattering  stuff  super hot  lt","positive"
"81","sometimes  just wish  uber driver  accidentally deliver  order  isnt mine   front door just lik ","neutral"
"82"," heliums block chain    power  decentralized network   power  idea  pu ","neutral"
"83","      bike bro organization thats  mouthpiece  uberlyft companies  seek  profit  ","neutral"
"84","    ola uber follower arent ya  fat virgin ","negative"
"85","theres also  gofundme   passenger  said  ordered  uber amp  driven around  atms  bank account ultima","neutral"
"86"," town doesnt  uber lyft  cell reception  like  specifically exists  teach rich city girls imp ","positive"
"87","omg   take  bus    wife    vacationing patchy cell one taxi  uberlyft hell yeah ","negative"
"88","  comes  yall spark   yall order uber eats      shit amp now  three  ","negative"
"89","  far   truth   started loosing weight lol","neutral"
"90","      bike bro organization thats  mouthpiece  uberlyft companies  seek  profit  ","neutral"
"91","companionship   essential  life wahala  plenty   life    need companions     drop","neutral"
"92"," infuriates   uber drivers ask   restaurant     shop right next  th ","positive"
"93"," getting   uber hey     getting    uber good luck   custody battle theres n","positive"
"94","muln badly oversold gem hiding righ  ur nose grnq ocgn tnxp axas abeo fcel bngo acor ontx nakd ","neutral"
"95","  really dont understand  truly theyre  allies theyre just pretending    atte ","neutral"
"96"," wanted  pay back  bartender   uber  ordered    weeks ago   said dont worry   now  lol","negative"
"97"," yes owneroperators  eligible  iww membership theres ","neutral"
"98","   askin  uber driver  pull    can vomit lt","negative"
"99"," confirmed  ride    cancelled  raised  price  even seconds la ","neutral"
"100"," whats  laziest thing youve ever used uber eats ","neutral"
"101","  sorry  hear      uber experience  expected please send us  dm  th ","negative"
"102","im almost home   just passed  uber  ","neutral"
"103","   uber like company will buy million units   one will   car anymore   c ","positive"
"104","uber driver tuff ","neutral"
"105"," going  almost three days   resolve havent heard  anyone  uber today","neutral"
"106","ladies please dont request uberbolt   dont  money  pay    drivers  will accept clito cu ","neutral"
"107"," clarify along  good friends  will  paying   uber rides    po","positive"
"108","    one  lies  uber drivers like big life lies just  test  acting last night    year old engi","negative"
"109","  called  work w car problems   wanted  buy   uber ","neutral"
"110"," ill uber    sister take ","neutral"
"111","thinking   time  someone died   hotel    working    didnt know   coroner came ","negative"
"112","  economy model   stay thrive numbers tell  different story  loosing m usd per","positive"
"113","  still smol tho    biggest smile   uber wholesome","positive"
"114","worlds longest fry im taking  uber ","neutral"
"115","  fear  peachs portrayal  understandable  seeing  uberfeministfantas ","neutral"
"116","breaking   uber eats like   door dash","neutral"
"117","uber   tailors","neutral"
"118"," star   bangalore cheaper  ola uber timely pickup last minute reschedule driv","positive"
"119","tried todayawesome exphope  use  soon   ","neutral"
"120","first taxi ride  years never   dinosaur industry  done nothing  adapt   disruption  ride ","negative"
"121"," uber driver  watching  basketball game  driving     timeshould   worried lol","negative"
"122"," uber just picked mom amp dad   take    airport amp   drove away  girl put  arms around  lo ","neutral"
"123","  whole tweet sounds uber pathetic imagine thinking harry  meghan   story rele","negative"
"124"," dont order uber eats    days  start getting aggressive w  notifications  know  aint eat today","negative"
"125"," uber driver named adrianna  catcalled   dusk  poland","neutral"
"126"," uber driver  playing  burned cd entitled ska punk christmas","negative"
"127","    uber free rides apply  middle aged  senior citizens  ","positive"
"128","  definitely want  get  sorted  weve   touch via dm     questions pleas ","negative"
"129"," damn   horrible","negative"
"130"," vintage uber successful   always h h h","positive"
"131","   drivers  riders just worked     figure   much  charge   charge th ","positive"
"132","bitch uber   dick","negative"
"133"," olu hu uber run   life","neutral"
"134","lbas uber patent infringement markman hearing ","negative"
"135","uber drivers man ","neutral"
"136","uber drivers always play bob marley   get   car lol","neutral"
"137"," uber  arrived ","neutral"
"138","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"139"," thats always sad  place   hot tip  yesterdays uber driver turns  desires oyster bar ","neutral"
"140"," bucks  one day now  gotta  uber  drunk fuck ","negative"
"141","  preliminary due diligence   appears many   also charged  multiple months  ","positive"
"142"," uber  ola    driver behave   way  sometimes  even ask  extra money ","neutral"
"143"," actually  true    desire   tesla   uber ride  nas ","neutral"
"144","however im   uber eats driver ass im really waiting    mf door","neutral"
"145","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"146"," dont maccas   new drinks  uber eats ","neutral"
"147","    preschool teacher many moons ago amp  cant even fathom talking   sex life boyfriend social life","neutral"
"148","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"149"," done","neutral"
"150"," yall impossible  get ahold  cancelled everything   guys  long ago  yall still charging  every month","negative"
"151","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"152"," explain     dont use  yellow cab   jfk minute wait    illegal cabs dow ","negative"
"153"," call  game  uber","neutral"
"154"," uber proud  see   great turnout   first tanggathon session last night thank  everyone  com ","positive"
"155","imagine getting several tickets  dates  times   werent parked   thats  tracy lang  ube ","neutral"
"156","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"157"," enormously frustrating  watch  pens severely like uber severely underperform   overtime situations","neutral"
"158","  nigerian lady said    thought bas  beating uber driv ","neutral"
"159","  youre  twitter   work   sounds mighty unprofessional  ","positive"
"160","  khatara cabs  unhygienic driverscharging like  limo dont exactly know  uber india  ","positive"
"161","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"162"," anyone calls   passenger princess   car    one way ticket  getting left   uber princess bitch","negative"
"163","loser uber   ","negative"
"164","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"165","   looked like  irl  wouldnt    app lmaooo","positive"
"166"," good riddance uber doosh","positive"
"167","   driving","neutral"
"168","apparently can charge  account without  full acknowledgement  understanding    charged ","neutral"
"169","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"170"," hate  uber doesnt let  change  profile picture  look way better    years ago man","neutral"
"171","nobody gives  shit pick   bags  go  uber  waiting ","negative"
"172"," republicans uber  available  free take advantage  voting tomorrow ","positive"
"173"," miles  miles    happens  drivers take  customers   ","neutral"
"174","taxing  wealth   uber wealthy     option   obligation   government   duty  ","neutral"
"175","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"176","  deliveries  uber  youd  surprised  secure  places   surveillance everywhere   wan ","positive"
"177","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"178"," uber eats   ginger ale","neutral"
"179","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"180"," boycott muslim drivers just refuse  ride   uber ola rapido platforms","negative"
"181","  best conversation   uber driver home today ","positive"
"182","uber  good value","positive"
"183","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"184"," uber   line cooks whore soberish  willing  come   short notice","neutral"
"185","oh  theyre begging   cross shot okay  can eat  uber cut shot","negative"
"186","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"187","   sure cuz  pics say otherwise lmfao","neutral"
"188"," davie revealing  uber rare ","neutral"
"189"," uber got nothing   breathing dummy hard ","negative"
"190","uber  matchmaking now thats crazy","negative"
"191"," ubereats driver app  stopped showing drop  address ","neutral"
"192","good almost afternoon  havent received anything  anybody can help   ride  work   funds   uber  rea","positive"
"193","  get home   uber right now  u gonna reimburse  ","positive"
"194"," will never understand   uber eats drivers think  ok  leave peoples food   fucking ground bro ","negative"
"195","   successful senior season im uber proud tete     studd ","positive"
"196","   lmao","neutral"
"197","  booked  uber shuttle ride   todayive boarded  shuttle  driver  unable  start ","negative"
"198"," yup  ","neutral"
"199","best slogan gets nike just   uber move  way  want airbnb belong anywhere grizzly ","positive"
"200","uber eats    much extra  delivery   tip   bit extreme ","neutral"
"201","  appreciate  taking  time  let us know    encourage   continue working ","positive"
"202"," sold  billion cant    bad ubers financials  shot    hea ","negative"
"203","karnataka govt proposes commission  appbased auto aggregators ola uber amp rapido courtesy mc read ","neutral"
"204"," yup   uberfrustrating","neutral"
"205"," ask uber   fight  apple went","neutral"
"206"," whatever reason    lazy  walk home  took  uber   punishment      game  pe ","negative"
"207","  fact youre jacking   delivery prices  strongarm people   uber plus program  kind o ","neutral"
"208","getting  uber   hell","negative"
"209","wonderful piece   teams  mixed ethnicity   primacy   immigrant   sport  ","positive"
"210","uber top analyst price target  next week","positive"
"211","  guys  gonna   reason   lot  drivers kids   dark christmas  rob drivers  dont ","negative"
"212","uber top analyst price target  next week","positive"
"213","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  ","neutral"
"214","  cuz   watching    way   interview     stone face kn cuz ik   screamed  ub ","neutral"
"215","ok  twist  arm  now  pretty face   memed ","neutral"
"216","     apple gal   beginning   will seriously find  new phone   happens   ","neutral"
"217","eventually itll  whittled    single uberwoke authoritarian trying  ban   left hand whatever h ","negative"
"218"," uber  tf   become  kpop star","neutral"
"219","gonna start  app like uber   just delivers  moots youve  flirting  direct   door","positive"
"220"," best place  traders  gain spy amzn nvda ba baba amd nflx fb uso dal ","positive"
"221","ive  stuck  covid iso  days   order  chip   stick via uber eats","negative"
"222"," thats  waiting  uber eats delivery","neutral"
"223","grape nuts dont contain nuts  grapes  mexicans steal  jobs  border collies use    since  c ","negative"
"224"," fr fr    kicked    car  make  call  uber ","neutral"
"225","   sorry   inconvenience caused   please send us  order id  confirm  name   ","negative"
"226","uber eats delivery fees  making  sense","neutral"
"227","free visa debit card  cover  next gas station visit  uber gift cards like  post  subscribe   fre","positive"
"228","ybnls newest signee ubertalented recording artist songwriter amp producer brings  exclusive acoustic perfo","neutral"
"229"," uber betta kno   buss dey ass drivin lik dis","neutral"
"230"," yall know uber   social media network","neutral"
"231"," ill just alternate apps  communicate  nope   proc doc describes  standard chinese police phone fo","neutral"
"232","    imaginary life   uberlyft ","negative"
"233","   just got  doesnt know   world works yet   ","positive"
"234","like     charity  doesnt  property takes   donations   people    uber  ","positive"
"235","  trip     michigan   got dam san fransisco ca  want  fucking money back noooooowa wt ","negative"
"236","  uber model  looks like subsidise   can saturate  market  put   prices  ","positive"
"237","   fully aware   consequences  putting  gorgeous face   internet","positive"
"238"," thank  uber","positive"
"239","    assist please send us  dm   phone number associated   uber account s ","neutral"
"240"," menulogjust now  clear  uber eats","positive"
"241","   ok","neutral"
"242","  uber proud  ms bynum ","positive"
"243","arizona georgia ohio pennsylvania wisconsin  election day   providing free roundtrip uber rides t","positive"
"244","  understand   want  issue   resolved   assure    support team works throu ","positive"
"245"," must  mandatory  uber drivers  listen  church  gospel stations   drive","neutral"
"246"," thanks  reaching    currently reviewing  concern  will   touch via inapp  ","negative"
"247","  beautiful christmas market  kyiv ukraine  front  st sophia cathedral ","positive"
"248","  dont know  nypd  count    victims   filed  p","neutral"
"249"," strange looking uber","negative"
"250"," solo ubers  lowkey goated  situations   favorable uber exchange   vibe","positive"
"251","     laugh  generally deluded ","negative"
"252","  hard  look   bunch  think uber race","negative"
"253","boycott ","negative"
"254"," ","neutral"
"255"," holy crap thats meme worthy    compared  az right now  funny faces","positive"
"256","one   biggest deterrents  young voters  transportation thats  amp teamed  ","neutral"
"257","  public service thanks uber","neutral"
"258","ybnls newest signee ubertalented recording artist songwriter amp producer brings  exclusive acousti ","neutral"
"259"," uber driver def caught     bc  went  playing country    minutes   ride","neutral"
"260"," believe  love love  life","positive"
"261"," uber driver yesterday tried  bully   cheating   man lmfaooooo man drop    get  teeth fixed ","negative"
"262"," youre calling  uber home right ","positive"
"263"," youre  scary driver please uber","negative"
"264","   think    better  feel  just driving next time xd   will somewhat suck    ","neutral"
"265"," uber","neutral"
"266","uber top analyst price target  next week gt ","positive"
"267"," wtfuck   bull shit  uber    change    take  trip   got dam locatio ","negative"
"268","facts ","neutral"
"269"," yeah  can come  mine  pizza  min uber  hour bus","neutral"
"270","exclusive beatenand  carjacked houston uber driver tells khou reporter   moments leading  t","positive"
"271"," probably uber eats salah  stayin wit   wife tonight ","neutral"
"272","niggas carjacking uber drivers  crazy   ","negative"
"273"," guy   uber share keeps refusing  play whiskey    hes just  haunted  see  ghosts  idiot","negative"
"274","  uber one  just noticed  fee   platinum amex card anyone else billed   cc ","neutral"
"275","   sorry   inconvenience caused   please send us  phone number  email address assoc ","negative"
"276","  partnering  uber  offer young georgia voters free rides    polling locations  th","positive"
"277"," uber  giving free rides  vote  know  thats    walker  win republicans need  step  ","positive"
"278"," feel like uber facts  talking   ass sometimes","positive"
"279","  sorry  hear   havent received  order please send us  dm   phone number ema ","negative"
"280"," cant even get   lyft  uber without knowing  youre gonna get kidnapped  robbed  gun point  baltim ","neutral"
"281"," may  well become  uber driver","positive"
"282","hungry get   first uber eats order    terms apply use  code  checkout eatsnaritac ","neutral"
"283","everytime  get ready  go  work  open uberbolt ","positive"
"284"," lets make  happen ","neutral"
"285","   can end  debate  election suppression  need  id  get   uber","negative"
"286"," hi   taken  trip yesterday  bangalore     cash payment   pai ","neutral"
"287","think    uber driver  gets  venmo payout   treasury publicly targets   now th ","neutral"
"288","    commute  bolt  uber   daily       shit  super expensive ","negative"
"289"," jerks  try  drive away  driving straight instead  making  uturn like everyone else since  ge ","positive"
"290"," feel like even   get back  toronto   vacation im  gonna redownload uber uber eats  anything  ","positive"
"291"," driver numbers reducing due  high fees charges also deregulation act uber cashed    ","neutral"
"292","yeah  get  bro   uber driver  busy af  get   respect  grind tho","neutral"
"293","  seen    said     fake looked       dude chick  one odd perso ","negative"
"294"," let us help   will send   dm  verify  situation","neutral"
"295","  without  doubt  hint  irony   disgusting morally reprehensible thing ive seen      absu","negative"
"296","fuck allatdid  bitch uber  deliver food ","negative"
"297"," hi  really need  money back","neutral"
"298","im actually  happy  ireland banned uber  fuck w taxis taxi unions bc id rather support  worker  ca ","positive"
"299"," youre calling  uber home right ","positive"
"300","   informed today     ride  uber anymore  uber will  tell     ","neutral"
"301","pretty soon  gone  yall remember uber  lyft lol   time ","positive"
"302","uber eats    much extra  delivery   tip   bit extreme ","neutral"
"303"," ola hu uber   boom","positive"
"304","   become  recurring issue  ola  uber best  keep  gpayupi option   ","neutral"
"305"," lgbtq agenda  nothing    grooming kids  pedos  uber straight","neutral"
"306","vegas uber drivers  funny  hell ","negative"
"307","   first uber eats order    use code usji terms  fees apply","neutral"
"308","  awesome amp  giving young voters free uber rides     ","positive"
"309","ziggurat  ur iraq ","neutral"
"310","    feeling youre    ","neutral"
"311","theres currently  giant disco ball car suspended  sydney harbour  nestled  glitte","neutral"
"312","im  tired  driving   uber tonight","negative"
"313","   ride  unacceptable deplorable even  fact   dont   alerting   app ","negative"
"314","mostly ahs excruciating fake laugh  watch   want  torture   tf   uber ","negative"
"315","  really sad   dont value us drivers    make us suffer   reason ","negative"
"316"," arent  uber progressive    want  norms","positive"
"317"," good thing    mexico previously  ubers werent  brutal ","neutral"
"318","   fly  miami   friends come scoop    airport   can save  uber ride f ","neutral"
"319"," uber driver  just singing heartbreak anniversary    might without tryna make  obvious im like ","positive"
"320","  dangerous   last night uber boat nearly rams westminster","negative"
"321"," uber eat ","neutral"
"322","people just trying  get home  work  yall jacking  uber   jacking  outchea trying  hit  ","positive"
"323","everytime  get food  uber eats  always really appreciate  bc  dont   car rn   like wow u really ","positive"
"324","man woman wanted  police  houston uber driver brutally beaten via ","negative"
"325","    argued   literally hurting  mission   point  ","negative"
"326","   go sit   beach  think theres  beach  can uber  pretty close  lax","positive"
"327"," voiced version ","neutral"
"328"," new episode  kicked back presented    now  football coming home  christian pulis","neutral"
"329","  account got hacked  now    third party security wall can  please delete    can start  ","neutral"
"330","  online payments  will cancel  ride cash works   cases ","positive"
"331","  called uber maybe  can teach people   license   use ","neutral"
"332"," theres hardly  better activity  cuddling  want    professional cuddler can  open  ve ","positive"
"333"," yeah underpaid   teachers driving uber   us   disgrace pay every ","negative"
"334","  finna make  salmon burger   think imma uber eats instead","neutral"
"335","  uber cars  one place","neutral"
"336","  need  bike taxis  bengaluru  everyone can afford ola ","positive"
"337"," dont book ola  uber   want  catch  flight    reach anywhere  tim","neutral"
"338"," gon cap   hitting  vape   hop   ubers   uber drivers  thinking  just smell like ","neutral"
"339"," yes ill make sure  share  whim  well btw  daughter amp   uber fans amp  mu ","positive"
"340","first world problem trying  keep  shit together     back   uber   radio plays magic fm christmas songs ","negative"
"341","  pathetic service  uber daily im getting message  rs deduction   payt","negative"
"342","  wont see    uberdetailed   kind  stuff isnt made public  im assured ","neutral"
"343"," confidentiality uber alles  completely insane","negative"
"344"," sure   can easily translate c  k  k  c li ","neutral"
"345","fake thai taxi trepid turquoise green held orangeish stripe dorsiferous midnight purple ","negative"
"346"," nothing will change sick mentality even  ola fires   will drive uber  indriv","negative"
"347","see  thing  eren  hades  technically   obvious choice   feel like  need  malewife er ","positive"
"348"," just ordered  pancheros burrito  uber eats  lol","neutral"
"349","uber weeds plz","neutral"
"350","shout    uber man   bike   snow trying  deliver  food","neutral"
"351","true happiness   uber rare   free gacha draw ","positive"
"352"," obviously uber bearish","negative"
"353","  bad guy  cats lol","negative"
"354","  sorry  hear   wasnt  uber experience  expected please send us  dm  date ","negative"
"355","  sent  similar themed text  got  earful     eyeful   kids just called ","neutral"
"356"," innovative solutions like slave labor  mix   fyre festival conditions     v ","positive"
"357","chile  daddy  intent  setting     mid  church work uber drivers anywhere   like plea ","positive"
"358","   grumpy old men stop  taxi drivers  start  uber drivers","negative"
"359"," absolutely atrocious customer phone support two days   row  phone sup ","neutral"
"360"," ","neutral"
"361"," oh  totally agree   hes intensely   wrong   must always  careful  course  ","negative"
"362","  public transportation uber  hella expensive","negative"
"363","  uber eats driver  pulling    order worth  food    category hurricane ","positive"
"364","leaving  uber smiling proudly   knowing  just scored  solid star rating   driver   one violation ","positive"
"365"," hi wes sorry  hear    mind sending us  dm   emailphone number attached   acco ","negative"
"366"," dont book ola  uber   want  catch  flight    reach anywhe ","neutral"
"367"," victor lol typical democrat lies  usual  know  drive  uber caught  ca ","negative"
"368"," native smoke signal  uber","negative"
"369"," give tax advantages  little person tax relief lower taxes  give  advantages ","positive"
"370","uber nov puts  alerted   nov pm peak  alert  ","neutral"
"371"," wait  f isnt even fuckin linear holy shit  wor ","neutral"
"372","uber eats damn","negative"
"373","  almost got robbed   uber sooo  best just   go ","positive"
"374","  member profits stay patient   let  trade play  ino ino lyft fsr ","positive"
"375","everyone come join  amazing group  traders ino fsr lyft slv meso uber gld ","positive"
"376","  every minute miami airport  south beach express shuttle   joke  figured id try    ","negative"
"377","im sick    responsible   order two slices  cake   uber eats","negative"
"378","uber driver just started playing dick   box lmao","negative"
"379","   happening  many placesabsolutely pathetic service   ola  uber rude driversunclean  b ","negative"
"380","  uber driver spilling  familys tea  just told    mamas business ","negative"
"381"," tiktok  often promoted dangerous trends like blackout challenge    chacha slide  driving  yet","neutral"
"382"," awaiting response ","neutral"
"383"," dad rly  sweetest  felt bad  cant pick     airport   sending  money  uber  rly spoils ","negative"
"384","sneakers amp uber tonight   plan  drinking without restrictions ","neutral"
"385","take    please  want uber eats  bad ","negative"
"386","  enhance  experience  trading  get instant help click  ba bb baba ","positive"
"387","  lost   uber driver   brutally knocked   paul  comments  ","negative"
"388"," bruh  knew   c  technically bad   ","negative"
"389"," hours  se ridge  already  decimated   uber block   z eps love  ","positive"
"390","alerts given trading chat  discord join  free spy qqq amzn nvda ba tsla ","neutral"
"391","damn  free uber eats membership     capital one credit card ","neutral"
"392","imagine  tinder   rating system like uber","positive"
"393"," colorado lyft  uber drivers strike  denver international airport demand reform ","neutral"
